5'_gene	3'_gene	5'_transcript	3'_transcript	exon_gene_source	exon_number	exon_chr	exon_start	exon_end
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'5 gene	1	1	203799335	203803016
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'5 gene	2	1	203816926	203817124
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'5 gene	3	1	203818570	203818689
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'5 gene	4	1	203828299	203828422
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'5 gene	5	1	203829451	203829654
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'5 gene	6	1	203829780	203829896
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'5 gene	7	1	203830123	203830203
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'5 gene	8	1	203831661	203831771
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'5 gene	9	1	203833791	203833853
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'3 gene	5	1	202911054	202911203
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'3 gene	6	1	202909010	202909124
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'3 gene	7	1	202896854	202896960
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'3 gene	8	1	202895522	202895717
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'3 gene	9	1	202894591	202894749
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'3 gene	10	1	202894184	202894282
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'3 gene	11	1	202893239	202893425
ZC3H11A	KLHL12	ENST00000545588	ENST00000367261	'3 gene	12	1	202891100	202892659
