5'_gene	3'_gene	5'_transcript	3'_transcript	exon_gene_source	exon_number	exon_chr	exon_start	exon_end
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	1	16	18925950	18926454
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	2	16	18896793	18896956
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	3	16	18896052	18896207
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	4	16	18892218	18892354
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	5	16	18890863	18890921
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	6	16	18889372	18889585
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	7	16	18885541	18885666
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	8	16	18885090	18885162
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	9	16	18884070	18884167
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	10	16	18882165	18882338
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	11	16	18879495	18879719
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	12	16	18877131	18877232
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	13	16	18876124	18876393
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	14	16	18872494	18872624
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	15	16	18872184	18872345
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	16	16	18871364	18871482
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	17	16	18870801	18870888
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	18	16	18870610	18870711
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	19	16	18869854	18869994
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	20	16	18869104	18869303
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	21	16	18868523	18868719
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	22	16	18868190	18868354
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	23	16	18866621	18866775
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	24	16	18864002	18864144
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	25	16	18863650	18863851
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	26	16	18860667	18860776
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	27	16	18859556	18859703
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	28	16	18859022	18859181
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	29	16	18858170	18858290
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	30	16	18854656	18854904
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	31	16	18853583	18853867
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	32	16	18852318	18852462
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	33	16	18852067	18852205
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	34	16	18850237	18850467
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	35	16	18849949	18850126
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	36	16	18849217	18849378
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	37	16	18847816	18848033
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	38	16	18847453	18847607
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	39	16	18845429	18845651
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	40	16	18842208	18842454
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	41	16	18841565	18841794
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	42	16	18839698	18839946
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	43	16	18838551	18838689
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	44	16	18838357	18838466
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	45	16	18838014	18838232
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	46	16	18837253	18837443
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	47	16	18836360	18836532
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	48	16	18835933	18836212
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	49	16	18834892	18835164
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	50	16	18834204	18834438
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	51	16	18832940	18833166
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	52	16	18830219	18830369
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	53	16	18829926	18830115
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	54	16	18829286	18829755
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	55	16	18828031	18828168
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	56	16	18819502	18819654
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	57	16	18817291	18817470
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	58	16	18816302	18816529
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	59	16	18815440	18815651
SMG1	PHF20	ENST00000446231	ENST00000374012	'5 gene	60	16	18815175	18815281
SMG1	PHF20	ENST00000446231	ENST00000374012	'3 gene	2	20	35801491	35801605
