5'_gene	3'_gene	5'_transcript	3'_transcript	exon_gene_source	exon_number	exon_chr	exon_start	exon_end
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'5 gene	1	3	44584964	44585007
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'5 gene	2	3	44586105	44586213
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	3	20	508451	508660
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	4	20	505118	505229
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	5	20	499833	499934
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	6	20	499255	499305
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	7	20	497721	497780
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	8	20	495719	495802
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	9	20	492254	492364
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	10	20	489780	489881
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	11	20	488678	488778
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	12	20	487427	487575
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	13	20	486376	486462
ZNF660	CSNK2A1	ENST00000322734	ENST00000217244	'3 gene	14	20	481097	484076
