5'_gene	3'_gene	5'_transcript	3'_transcript	exon_gene_source	exon_number	exon_chr	exon_start	exon_end
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	1	18	12991362	12991437
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	2	18	12999421	12999588
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	3	18	13001457	13001582
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	4	18	13008456	13008631
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	5	18	13012973	13013025
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	6	18	13015328	13015448
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	7	18	13017188	13017336
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	8	18	13018480	13018615
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	9	18	13019082	13019206
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	10	18	13029663	13030002
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	11	18	13030465	13030608
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	12	18	13037237	13037301
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	13	18	13038370	13038579
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	14	18	13040830	13040956
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	15	18	13042204	13042334
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	16	18	13048859	13049681
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	17	18	13049765	13049891
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	18	18	13052919	13053090
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	19	18	13055780	13056698
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	20	18	13057585	13057733
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	21	18	13059082	13059312
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	22	18	13067831	13067956
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	23	18	13068094	13068237
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	24	18	13068359	13068422
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	25	18	13068852	13068991
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	26	18	13069089	13069181
CEP192	TMEM260	ENST00000506447	ENST00000261556	'5 gene	27	18	13069738	13069856
CEP192	TMEM260	ENST00000506447	ENST00000261556	'3 gene	11	14	56621531	56621702
CEP192	TMEM260	ENST00000506447	ENST00000261556	'3 gene	12	14	56625382	56625530
CEP192	TMEM260	ENST00000506447	ENST00000261556	'3 gene	13	14	56632995	56633171
CEP192	TMEM260	ENST00000506447	ENST00000261556	'3 gene	14	14	56634899	56634952
CEP192	TMEM260	ENST00000506447	ENST00000261556	'3 gene	15	14	56636508	56636598
CEP192	TMEM260	ENST00000506447	ENST00000261556	'3 gene	16	14	56647243	56649515
