5'_gene	3'_gene	5'_transcript	3'_transcript	exon_gene_source	exon_number	exon_chr	exon_start	exon_end
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	1	1	169893788	169893959
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	2	1	169888676	169888890
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	3	1	169878634	169878819
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	4	1	169875978	169876091
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	5	1	169873696	169873752
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	6	1	169870255	169870357
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	7	1	169868928	169869039
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	8	1	169866896	169866973
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	9	1	169864369	169864508
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	10	1	169862613	169862797
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	11	1	169859041	169859212
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	12	1	169855796	169855957
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'5 gene	13	1	169854556	169854964
SCYL3	C1orf112	ENST00000367772	ENST00000286031	'3 gene	24	1	169854001	169854080
