5'_gene	3'_gene	5'_transcript	3'_transcript	exon_gene_source	exon_number	exon_chr	exon_start	exon_end
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'5 gene	1	12	118372648	118372945
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'5 gene	2	12	118266655	118266759
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'5 gene	3	12	118255448	118255655
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'5 gene	4	12	118244894	118244965
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'5 gene	5	12	118243415	118243516
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'5 gene	6	12	118239227	118239272
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'5 gene	7	12	118238073	118238169
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'5 gene	8	12	118235558	118235671
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'5 gene	9	12	118233674	118233765
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'3 gene	7	4	163545596	163545743
TAOK3	MARCH1	ENST00000392533	ENST00000503008	'3 gene	8	4	163524718	163529046
