5'_gene	3'_gene	5'_transcript	3'_transcript	exon_gene_source	exon_number	exon_chr	exon_start	exon_end
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	1	8	140458281	140458579
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	2	8	140450790	140451383
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	3	8	140439052	140439197
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	4	8	140435112	140435240
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	5	8	140426615	140426641
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	6	8	140405577	140405698
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	7	8	140397620	140397745
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	8	8	140370964	140371180
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	9	8	140360050	140360193
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	10	8	140311248	140311374
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	11	8	140300469	140300614
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	12	8	140290993	140291078
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	13	8	140287608	140287734
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	14	8	140283889	140284021
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	15	8	140275658	140275821
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	16	8	140252777	140252929
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	17	8	140221459	140221583
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	18	8	140023937	140024079
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'5 gene	19	8	139988726	139988836
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'3 gene	5	22	45178238	45178900
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'3 gene	6	22	45181286	45181367
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'3 gene	7	22	45183402	45183520
TRAPPC9	NUP50	ENST00000389328	ENST00000347635	'3 gene	8	22	45184453	45188015
